"Account Information","Informação de Acesso"
"Account login","Login de acesso"
"Account password","Senha de acesso"
"Action","Ação"
"Active Balance","Saldo Ativo"
"Active Discount","Desconto Ativo"
"Active From","Ativo a partir de"
"Add Discount","Adicionar Desconto"
"Add Transaction","Adicionar Transação" 
"Auto message: Bonus for registration","Mensagem automática: Bônus para registro"
"Auto message: Bonus for referral signups","Mensagem automática: Bônus para indição de inscrição"
"Auto message: Bonus for the number of items purchased by referrals","Mensagem automática: Bônus para o número de itens comprados por indicação"
"Auto message: Bonus for the amount of money spent by referrals","Mensagem automática: Bônus para a quantidade de dinheiro gasto por indicação"
"aheadWorks - Refer a Friend Section","aheadWorks - Seção Indique um Amigo"
"Applied Discount For Referred Friends","Descondo Aplicado para Amigos Indicados"
"Apply","Aplicar"
"Apply Discount For Referred Friends","Aplicar Desconto para Amigos Indicados"
"Are you sure?","Você tem certeza?"
"Available balance is %s","Saldo disponível é %s"
"Bonus Amount","Bônus Total"
"Bonus Type","Tipo de Bônus"
"Broadcast Link","Divulgar Link"
"Cancel","Cancelar"
"Number of Registered Referrals","Número de Indicações Registradas"
"Can not send invitation","Não pode enviar convite"
"Comment","Comentário"
"Commnet","Commnet"
"Country","País"
"Created At","Criado em"
"Create Discount","Criar Desconto"
"Create New Rule","Criar Novo Regra"
"Create Transaction","Criar Transação"
"You shouldn't insert any links in the text - they will be added automatically.","Você nao deve inserir nenhum link no texto - eles serão adicionados automaticamente."
"CSV","CSV"
"Customer","Cliente"
"Customer Email","Email do Cliente"
"Customer Grid","Grid do Cliente"
"Customer Id","Id Cliente"
"Customers","Clientes"
"Customer Since","Cliente Desde"
"Delete","Apagar"
"Disabled","Desabilitado"
"Discount Amount %","Valor do Desconto em %"
"Discount Amount, %","Valor do Desconto, %"
"Discount Amount","Valor do Desconto"
"Discount cannot be applied","Desconto não pode ser aplicado"
"Discount can not be greater than subtotal","Desconto não pode ser maior que valor do pedido"
"Discount Details","Destalhes do Desconto"
"Discount for a number of items","Desconto para um número de itens"
"Discount for orders","Desconto para pedidos"
"Discount for referred friends","Desconto para amigos indicados"
"Discount has been applied","Desconto foi aplicado"
"Discounts Added","Descontos Adicionados"
"Discounts","Descontos"
"Discount successfully deleted","Desconto apagado com sucesso"
"Discount Type","Tipo de Desconto"
"%d rule(s) have been successfully deleted","%d regra(s) foram apagadas com sucesso"
"Edit Discount '%s'","Editar Desconto '%s'"
"Edit Discount #'%s'","Editar Desconto #'%s'"
"Edit","Editar"
"Edit Rule","Editar Regra"
"Edit Rule '%s'","Editar Regra '%s'"
"Edit Rule #'%s'","Editar Regra #'%s'"
"Email address is invalid","Endereço de email é inválido"
"Email","Email"
"Email %s already a registered customer","Email %s já é um cliente registrado"
"Email to %s has been successfully sent","Email para %s foi enviado com sucesso"
"Enabled","Habilitado"
"Enter amount in base website currency","Entre valor na moeda corrente do website"
"Error on sending email notifications. Please contact store administrator","Erro ao enviar notificações por eamil. Por favor contate o administrador da loja."
"Fixed discount","Desconto fixo"
"Fixed Discount","Desconto Fixo"
"Fixed % discount for all referrals purchase amount","% Desconto Fixo para valor comprado pelos indicados (1)"
"Fixed % discount for quantity of the items purchased","% Desconto Fixo para quantidade de itens comprados"
"Fixed % discount for signup quantity","% Desconto Fixo para quantidade de assinaturas"
"Fixed flat rate discount for all referrals purchase amount","Desconto de valor fixo para valor comprado pelo indicados (2)"
"Fixed flat rate discount for quantity of the items purchased","Desconto de valor fixo para quantidade de itens comprados"
"Fixed flat rate discount for signup quantity","Desconto de valor fixo para quantidade de assinaturas"
"Friend\'s email","Email de amigo" 
"General Information","Informações Gerais"
"Group","Grupo"
"Hi, I thought it might interest you.","Olá, acho que isto poderia interessar a você."
"ID","ID"
"Incorrect discount rule","Regra de desconto incorreta"
"Incorrect rule","Regra incorreta"
"Information has been successfully resetted","Informação foi redefinida com sucesso"
"Invalid discount ids","Ids de desconto inválidos"
"Invalid rule ids","Ids de regra inválidos"
"Invite a friend","Convite um amigo"
"Invite Form","Formulário de Convite"
"Item price","Preço do item"
"Item price + Tax","Preço do item + Impostos"
"Loading...","Carregando..."
"Login","Acesso"
"Manage Discounts","Gerenciar Descontos"
"Manage Rules","Gerenciar Regras"
